transaction_id,transaction_date,store_id,product_id,customer_id,is_guest,quantity,unit_price,extended_amount,total_amount,discount_amount,has_discount,is_return
TXN10179,2026-05-30,S011,P024,CUST0247,False,2,196.2,392.4,392.4,0.0,False,False
TXN10209,2026-04-23,S015,P027,GUEST,True,4,195.34,781.36,781.36,0.0,False,False
TXN10385,2026-03-11,S014,P030,CUST0059,False,4,76.48,305.92,305.92,0.0,False,False
TXN10130,2026-04-17,S011,P010,CUST0060,False,5,237.08,1185.4,1185.4,0.0,False,False
TXN20016,2026-05-25,S007,P030,CUST0236,False,-2,76.48,-152.96,-152.96,0.0,False,True
TXN20019,2026-04-01,S006,P002,CUST0168,False,-1,147.38,-147.38,-147.38,0.0,False,True
TXN10350,2026-04-01,S007,P003,CUST0153,False,5,134.2,671.0,671.0,0.0,False,False
TXN10421,2026-04-27,S007,P010,CUST0165,False,5,237.08,1185.4,1185.4,0.0,False,False
TXN10380,2026-03-20,S005,P029,CUST0257,False,4,155.01,620.04,620.04,0.0,False,False
TXN10107,2026-03-05,S001,P023,CUST0174,False,5,108.28,541.4,467.77,73.63,True,False
TXN10138,2026-03-22,S010,P021,CUST0233,False,5,129.12,645.6,645.6,0.0,False,False
TXN10328,2026-04-09,S003,P019,CUST0205,False,5,193.38,966.9,966.9,0.0,False,False
TXN10041,2026-05-14,S014,P012,CUST0043,False,5,123.17,615.85,615.85,0.0,False,False
TXN10235,2026-05-18,S001,P011,GUEST,True,5,224.93,1124.65,1124.65,0.0,False,False
TXN10239,2026-03-27,S003,P007,GUEST,True,3,104.92,314.76,314.76,0.0,False,False
TXN10451,2026-05-17,S010,P018,CUST0026,False,5,107.56,537.8,537.8,0.0,False,False
TXN20004,2026-05-16,S013,P028,CUST0133,False,-5,69.62,-348.1,-348.1,0.0,False,True
TXN10299,2026-05-24,S010,P016,CUST0142,False,5,24.52,122.6,122.6,0.0,False,False
TXN10142,2026-05-16,S011,P029,CUST0124,False,1,155.01,155.01,155.01,0.0,False,False
TXN10033,2026-04-01,S005,P003,CUST0069,False,1,134.2,134.2,134.2,0.0,False,False
TXN10093,2026-05-03,S008,P008,CUST0028,False,3,12.81,38.43,38.43,0.0,False,False
TXN10038,2026-03-26,S014,P010,CUST0142,False,5,237.08,1185.4,1185.4,0.0,False,False
TXN10211,2026-05-31,S011,P018,GUEST,True,2,107.56,215.12,215.12,0.0,False,False
TXN10074,2026-04-18,S011,P023,CUST0136,False,1,108.28,108.28,108.28,0.0,False,False
TXN10275,2026-05-05,S012,P012,CUST0127,False,1,123.17,123.17,123.17,0.0,False,False
TXN10121,2026-03-14,S007,P009,CUST0087,False,5,67.73,338.65,338.65,0.0,False,False
TXN10454,2026-04-12,S009,P016,CUST0101,False,5,24.52,122.6,122.6,0.0,False,False
TXN10327,2026-04-23,S001,P003,CUST0066,False,4,134.2,536.8,536.8,0.0,False,False
TXN10008,2026-03-19,S010,P013,CUST0192,False,3,37.22,111.66,111.66,0.0,False,False
TXN10165,2026-05-03,S009,P004,CUST0262,False,1,10.53,10.53,10.53,0.0,False,False
TXN10441,2026-04-11,S002,P011,CUST0078,False,5,224.93,1124.65,1124.65,0.0,False,False
TXN10190,2026-03-31,S002,P025,CUST0281,False,2,140.26,280.52,280.52,0.0,False,False
TXN10308,2026-04-06,S011,P006,CUST0208,False,1,242.36,242.36,242.36,0.0,False,False
TXN10031,2026-05-19,S008,P017,CUST0064,False,3,126.96,380.88,380.88,0.0,False,False
TXN10244,2026-04-23,S014,P019,CUST0173,False,1,193.38,193.38,193.38,0.0,False,False
TXN10221,2026-03-19,S004,P011,GUEST,True,1,224.93,224.93,224.93,0.0,False,False
TXN10102,2026-03-20,S003,P014,CUST0022,False,3,27.98,83.94,79.66,4.28,True,False
TXN10369,2026-05-04,S001,P024,CUST0284,False,3,196.2,588.6,588.6,0.0,False,False
TXN10288,2026-03-12,S009,P009,CUST0272,False,2,67.73,135.46,135.46,0.0,False,False
TXN10032,2026-03-29,S001,P017,CUST0111,False,4,126.96,507.84,507.84,0.0,False,False
TXN20009,2026-04-18,S011,P023,CUST0136,False,-1,108.28,-108.28,-108.28,0.0,False,True
TXN10200,2026-05-13,S007,P020,CUST0036,False,4,26.47,105.88,105.88,0.0,False,False
TXN10426,2026-05-13,S014,P009,CUST0036,False,1,67.73,67.73,67.73,0.0,False,False
TXN10423,2026-04-22,S012,P001,CUST0255,False,4,157.39,629.56,629.56,0.0,False,False
TXN20030,2026-04-19,S015,P028,CUST0141,False,-3,69.62,-208.86,-208.86,0.0,False,True
TXN10377,2026-05-31,S010,P019,CUST0287,False,2,193.38,386.76,386.76,0.0,False,False
TXN10318,2026-03-22,S015,P003,CUST0225,False,2,134.2,268.4,268.4,0.0,False,False
TXN20020,2026-05-04,S004,P004,CUST0291,False,-3,10.53,-31.59,-31.59,0.0,False,True
TXN10169,2026-04-24,S009,P027,CUST0063,False,5,195.34,976.7,976.7,0.0,False,False
TXN10011,2026-04-01,S010,P010,CUST0186,False,3,237.08,711.24,711.24,0.0,False,False
TXN10436,2026-04-13,S015,P030,CUST0056,False,3,76.48,229.44,229.44,0.0,False,False
TXN10125,2026-04-28,S013,P015,CUST0084,False,5,245.84,1229.2,1229.2,0.0,False,False
TXN10047,2026-03-21,S005,P016,CUST0175,False,3,24.52,73.56,73.56,0.0,False,False
TXN10277,2026-05-23,S013,P005,CUST0123,False,5,141.61,708.05,708.05,0.0,False,False
TXN10111,2026-03-08,S007,P016,CUST0229,False,3,24.52,73.56,59.88,13.68,True,False
TXN10091,2026-05-27,S015,P005,CUST0247,False,2,141.61,283.22,283.22,0.0,False,False
TXN10256,2026-05-04,S007,P011,CUST0027,False,1,224.93,224.93,224.93,0.0,False,False
TXN10361,2026-04-15,S003,P004,CUST0111,False,2,10.53,21.06,21.06,0.0,False,False
TXN10272,2026-04-28,S013,P027,CUST0017,False,3,195.34,586.02,586.02,0.0,False,False
TXN10356,2026-05-21,S005,P018,CUST0170,False,4,107.56,430.24,430.24,0.0,False,False
TXN20017,2026-04-12,S002,P003,CUST0028,False,-1,134.2,-134.2,-134.2,0.0,False,True
TXN10332,2026-05-01,S004,P016,CUST0161,False,4,24.52,98.08,98.08,0.0,False,False
TXN10302,2026-05-31,S004,P020,CUST0230,False,1,26.47,26.47,26.47,0.0,False,False
TXN10372,2026-03-25,S008,P028,CUST0012,False,3,69.62,208.86,208.86,0.0,False,False
TXN10442,2026-05-30,S012,P016,CUST0283,False,4,24.52,98.08,98.08,0.0,False,False
TXN10359,2026-03-29,S010,P030,CUST0057,False,3,76.48,229.44,229.44,0.0,False,False
TXN10316,2026-05-27,S001,P025,CUST0163,False,3,140.26,420.78,420.78,0.0,False,False
TXN10024,2026-05-04,S014,P028,CUST0032,False,5,69.62,348.1,348.1,0.0,False,False
TXN10229,2026-05-12,S013,P001,GUEST,True,1,157.39,157.39,157.39,0.0,False,False
TXN10187,2026-04-03,S003,P007,CUST0012,False,3,104.92,314.76,314.76,0.0,False,False
TXN10353,2026-03-10,S013,P013,CUST0050,False,5,37.22,186.1,186.1,0.0,False,False
TXN10339,2026-03-05,S009,P006,CUST0235,False,3,242.36,727.08,727.08,0.0,False,False
TXN10124,2026-04-18,S001,P021,CUST0116,False,1,129.12,129.12,129.12,0.0,False,False
TXN10223,2026-05-11,S003,P022,GUEST,True,2,216.88,433.76,433.76,0.0,False,False
TXN10147,2026-05-07,S009,P023,CUST0290,False,1,108.28,108.28,108.28,0.0,False,False
TXN10063,2026-04-15,S003,P002,CUST0127,False,5,147.38,736.9,736.9,0.0,False,False
TXN10283,2026-05-08,S010,P014,CUST0077,False,2,27.98,55.96,55.96,0.0,False,False
TXN10126,2026-05-23,S008,P013,CUST0050,False,2,37.22,74.44,74.44,0.0,False,False
TXN10348,2026-05-14,S009,P007,CUST0022,False,1,104.92,104.92,104.92,0.0,False,False
TXN10055,2026-03-21,S013,P027,CUST0093,False,3,195.34,586.02,586.02,0.0,False,False
TXN10446,2026-03-30,S014,P016,CUST0168,False,2,24.52,49.04,49.04,0.0,False,False
TXN10135,2026-05-06,S012,P008,CUST0108,False,5,12.81,64.05,64.05,0.0,False,False
TXN10094,2026-04-01,S010,P004,CUST0041,False,2,10.53,21.06,21.06,0.0,False,False
