source_row,transaction_id,disposition,reason_code,reason_detail,total_amount_as_reported
0,TXN10179,kept,,,392.4
1,TXN10209,kept,,,781.36
2,TXN10385,kept,,,305.92
3,TXN10130,kept,,,1185.4
4,TXN20016,kept,,,-152.96
5,TXN20019,kept,,,-147.38
6,TXN10350,kept,,,671.0
7,TXN10421,kept,,,1185.4
8,TXN10380,kept,,,620.04
9,TXN10107,kept,,,467.77
10,TXN10138,kept,,,645.6
11,TXN10328,kept,,,966.9
12,TXN10041,kept,,,615.85
13,TXN10235,kept,,,1124.65
14,TXN10239,kept,,,314.76
15,TXN10451,kept,,,537.8
16,TXN20004,kept,,,-348.1
17,TXN10299,kept,,,122.6
18,TXN10142,kept,,,155.01
19,TXN10033,kept,,,134.2
20,TXN10093,kept,,,38.43
21,TXN10038,kept,,,1185.4
22,TXN10211,kept,,,215.12
23,TXN10074,kept,,,108.28
24,TXN10275,kept,,,123.17
25,TXN10121,kept,,,338.65
26,TXN10454,kept,,,122.6
27,TXN10327,kept,,,536.8
28,TXN10008,kept,,,111.66
29,TXN10165,kept,,,10.53
30,TXN10441,kept,,,1124.65
31,TXN10190,kept,,,280.52
32,TXN10308,kept,,,242.36
33,TXN10031,kept,,,380.88
34,TXN10244,kept,,,193.38
35,TXN10221,kept,,,224.93
36,TXN10102,kept,,,79.66
37,TXN10369,kept,,,588.6
38,TXN10288,kept,,,135.46
39,TXN10032,kept,,,507.84
40,TXN20009,kept,,,-108.28
41,TXN10200,kept,,,105.88
42,TXN10426,kept,,,67.73
43,TXN10251,quarantined,TX-07,"quantity == 0: economically empty row, excluded to protect the AOV denominator",0.0
44,TXN10423,kept,,,629.56
45,TXN20030,kept,,,-208.86
46,TXN10377,kept,,,386.76
47,TXN10318,kept,,,268.4
48,TXN20020,kept,,,-31.59
49,TXN10169,kept,,,976.7
50,TXN10011,kept,,,711.24
51,TXN10436,kept,,,229.44
52,TXN10125,kept,,,1229.2
53,TXN10047,kept,,,73.56
54,TXN10277,kept,,,708.05
55,TXN10111,kept,,,59.88
56,TXN10091,kept,,,283.22
57,TXN10256,kept,,,224.93
58,TXN10361,kept,,,21.06
59,TXN10272,kept,,,586.02
60,TXN10356,kept,,,430.24
61,TXN20017,kept,,,-134.2
62,TXN10332,kept,,,98.08
63,TXN10302,kept,,,26.47
64,TXN10372,kept,,,208.86
65,TXN10442,kept,,,98.08
66,TXN10359,kept,,,229.44
67,TXN10316,kept,,,420.78
68,TXN10024,kept,,,348.1
69,TXN10229,kept,,,157.39
70,TXN10187,kept,,,314.76
71,TXN10353,kept,,,186.1
72,TXN10339,kept,,,727.08
73,TXN10124,kept,,,129.12
74,TXN10223,kept,,,433.76
75,TXN10147,kept,,,108.28
76,TXN10063,kept,,,736.9
77,TXN10283,kept,,,55.96
78,TXN10126,kept,,,74.44
79,TXN10348,kept,,,104.92
80,TXN10055,kept,,,586.02
81,TXN10446,kept,,,49.04
82,TXN10135,kept,,,64.05
83,TXN10094,kept,,,21.06
84,TXN10310,kept,,,420.78
85,TXN10226,kept,,,402.6
86,TXN10335,kept,,,216.56
87,TXN10309,kept,,,258.24
88,TXN10078,kept,,,215.12
89,TXN10262,quarantined,TX-08,transaction_date is after AS_OF_DATE,152.96
90,TXN10013,kept,,,270.65
91,TXN10104,kept,,,528.49
92,TXN10435,kept,,,1229.2
93,TXN10131,kept,,,310.02
94,TXN10157,quarantined,TX-05,product_id is absent from the cleaned product dimension,242.36
95,TXN10431,kept,,,773.52
96,TXN10432,kept,,,224.93
97,TXN10171,kept,,,294.76
98,TXN10265,kept,,,26.47
99,TXN10099,kept,,,12.81
100,TXN10028,kept,,,67.73
101,TXN10370,kept,,,64.05
102,TXN10317,kept,,,650.64
103,TXN10307,kept,,,507.84
104,TXN10395,kept,,,126.96
105,TXN10175,kept,,,108.28
106,TXN20012,kept,,,-671.0
107,TXN10360,kept,,,310.02
108,TXN10064,kept,,,132.35
109,TXN10437,kept,,,402.6
110,TXN10117,kept,,,323.06
111,TXN10122,kept,,,380.88
112,TXN10025,kept,,,536.8
113,TXN10295,kept,,,209.84
114,TXN10159,kept,,,1229.2
115,TXN10232,kept,,,141.61
116,TXN10293,kept,,,27.98
117,TXN10273,kept,,,314.76
118,TXN10418,kept,,,140.26
119,TXN10103,kept,,,495.38
120,TXN10208,kept,,,338.65
121,TXN10145,kept,,,650.64
122,TXN10060,kept,,,216.52
123,TXN10035,kept,,,899.72
124,TXN10315,kept,,,10.53
125,TXN10323,kept,,,338.65
126,TXN10203,kept,,,122.6
127,TXN10161,kept,,,536.8
128,TXN10224,kept,,,51.24
129,TXN10134,kept,,,948.32
130,TXN10228,kept,,,737.52
131,TXN10056,kept,,,324.84
132,TXN10204,kept,,,541.4
133,TXN10001,kept,,,111.92
134,TXN10034,kept,,,12.81
135,TXN10057,kept,,,123.17
136,TXN20023,kept,,,-208.86
137,TXN10036,kept,,,186.1
138,TXN10347,kept,,,465.03
139,TXN10097,kept,,,867.52
140,TXN10343,kept,,,348.1
141,TXN10414,kept,,,105.88
142,TXN10037,kept,,,580.14
143,TXN10140,kept,,,566.44
144,TXN10449,kept,,,402.6
145,TXN10166,kept,,,105.88
146,TXN10351,kept,,,424.83
147,TXN10279,kept,,,671.0
148,TXN10073,kept,,,253.92
149,TXN10151,quarantined,TX-04,store_id is absent from the cleaned store dimension,507.84
150,TXN20025,kept,,,-229.44
151,TXN10236,kept,,,229.44
152,TXN10215,kept,,,67.73
153,TXN10457,kept,,,727.08
154,TXN10322,kept,,,111.92
155,TXN10264,kept,,,51.24
156,TXN10240,kept,,,152.96
157,TXN10460,kept,,,216.56
158,TXN10083,kept,,,899.72
159,TXN10459,kept,,,536.8
160,TXN10137,kept,,,465.03
161,TXN10387,kept,,,773.52
162,TXN10065,kept,,,69.62
163,TXN10410,kept,,,294.76
164,TXN10009,kept,,,1229.2
165,TXN10114,kept,,,247.42
166,TXN10153,quarantined,TX-04,store_id is absent from the cleaned store dimension,105.88
167,TXN10213,kept,,,283.22
168,TXN10029,kept,,,899.72
169,TXN10210,kept,,,21.06
170,TXN10314,kept,,,1084.4
171,TXN10100,kept,,,245.84
172,TXN10354,kept,,,382.4
173,TXN10053,kept,,,52.65
174,TXN10054,kept,,,781.36
175,TXN10424,kept,,,314.78
176,TXN10182,kept,,,1211.8
177,TXN10168,kept,,,433.12
178,TXN10044,kept,,,781.36
179,TXN10146,kept,,,541.4
180,TXN20027,kept,,,-203.19
181,TXN10391,kept,,,134.2
182,TXN10233,kept,,,430.24
183,TXN10132,kept,,,195.34
184,TXN10110,kept,,,87.37
185,TXN10338,kept,,,650.64
186,TXN10178,kept,,,152.96
187,TXN10398,kept,,,278.48
188,TXN10222,kept,,,141.61
189,TXN10330,kept,,,132.35
190,TXN10089,kept,,,1211.8
191,TXN10373,kept,,,270.92
192,TXN10090,kept,,,229.44
193,TXN10325,kept,,,948.32
194,TXN10002,kept,,,392.4
195,TXN10216,kept,,,737.52
196,TXN10160,kept,,,492.68
197,TXN10297,kept,,,348.1
198,TXN10433,kept,,,981.0
199,TXN10005,kept,,,64.05
200,TXN10450,kept,,,67.73
201,TXN10053,dropped,TX-09,byte-identical repeat of an earlier source row (de-duplicated on the full raw row),52.65
202,TXN10065,dropped,TX-09,byte-identical repeat of an earlier source row (de-duplicated on the full raw row),69.62
203,TXN10346,kept,,,216.52
204,TXN10320,kept,,,152.96
205,TXN10067,kept,,,209.84
206,TXN10020,kept,,,711.24
207,TXN10045,kept,,,420.78
208,TXN10022,kept,,,948.32
209,TXN10027,kept,,,615.85
210,TXN10363,kept,,,433.76
211,TXN10189,kept,,,420.78
212,TXN10152,quarantined,TX-04,store_id is absent from the cleaned store dimension,387.36
213,TXN10118,kept,,,274.49
214,TXN10453,kept,,,402.6
215,TXN10167,kept,,,196.2
216,TXN10250,kept,,,24.52
217,TXN10390,kept,,,73.56
218,TXN10278,kept,,,324.84
219,TXN10291,kept,,,209.84
220,TXN10417,kept,,,1229.2
221,TXN10143,kept,,,474.16
222,TXN10242,kept,,,268.4
223,TXN10193,kept,,,79.41
224,TXN10173,kept,,,108.28
225,TXN10084,kept,,,147.38
226,TXN10294,kept,,,122.6
227,TXN10039,kept,,,132.35
228,TXN10158,quarantined,TX-05,product_id is absent from the cleaned product dimension,246.34
229,TXN10408,kept,,,140.26
230,TXN10439,kept,,,51.24
231,TXN10456,kept,,,1229.2
232,TXN10381,kept,,,280.52
233,TXN10069,kept,,,348.1
234,TXN10018,kept,,,541.4
235,TXN10214,kept,,,348.1
236,TXN10447,kept,,,701.3
237,TXN10388,kept,,,216.56
238,TXN10430,kept,,,1084.4
239,TXN10080,kept,,,134.2
240,TXN10007,kept,,,208.86
241,TXN10197,kept,,,781.36
242,TXN10059,kept,,,196.2
243,TXN10075,kept,,,541.4
244,TXN10427,kept,,,140.26
245,TXN10227,kept,,,324.84
246,TXN10116,kept,,,839.54
247,TXN10185,kept,,,430.24
248,TXN10366,kept,,,64.05
249,TXN10379,kept,,,108.28
250,TXN10004,kept,,,390.68
251,TXN10415,kept,,,338.65
252,TXN10087,kept,,,671.0
253,TXN10164,kept,,,420.78
254,TXN10404,kept,,,380.88
255,TXN10394,kept,,,253.92
256,TXN10281,kept,,,152.96
257,TXN10365,kept,,,615.85
258,TXN10010,kept,,,580.14
259,TXN10181,kept,,,253.92
260,TXN10455,kept,,,67.73
261,TXN10425,kept,,,69.62
262,TXN10276,kept,,,711.24
263,TXN10062,kept,,,140.26
264,TXN20001,kept,,,-108.26
265,TXN10267,kept,,,157.39
266,TXN10416,kept,,,139.9
267,TXN10375,kept,,,775.05
268,TXN10282,kept,,,64.05
269,TXN10438,kept,,,152.96
270,TXN10371,kept,,,1229.2
271,TXN10026,kept,,,216.52
272,TXN10270,kept,,,10.53
273,TXN10384,kept,,,1185.4
274,TXN10202,kept,,,140.26
275,TXN20029,kept,,,-21.06
276,TXN10231,kept,,,24.52
277,TXN10284,kept,,,786.95
278,TXN10241,kept,,,786.95
